[0, 0]:	aakkoset - алфавит
[109, 109]:	ansiosta - благодаря чему-либо
[1090, 1090]:	kaurapuuro - овсяная каша
[1091, 1091]:	kausi - сезон, период
[1092, 1092]:	kautta - через, по
[1093, 1093]:	kauttakulkuviisumi - транзитная виза
[1094, 1094]:	kaviaari - икра
[1095, 1095]:	kaviaaria - икру (от kaviaari)
[1096, 1096]:	kefiiri - кефир
[1097, 1097]:	kehittyä - развиваться
[1098, 1098]:	kehittää - развивать
[1099, 1099]:	kehotta - побуждать делать что либо
[11, 11]:	Aasia - Aзия
[110, 110]:	antaa - дать,  давать
[1100, 1100]:	kehotus - предложение, совет, призыв
[1101, 1101]:	kehua - хвалить
[1102, 1102]:	keiltäytyä - отказываться самому
[1103, 1103]:	keiltää - запрещать, отрицать
[1104, 1104]:	keinu - качели
[1105, 1105]:	keitetty - вареное, отварное
[1106, 1106]:	keitettyä - отварной (от keitetty)
[1107, 1107]:	keitin - примус, плитка (титан)
[1108, 1108]:	keitinliemi - бульон, отвар
[1109, 1109]:	keitos - похлебка, варево
[111, 111]:	antaisitteko - вы не дадите ли
[1110, 1110]:	keittiö - кухня
[1111, 1111]:	keitto - суп
[1112, 1112]:	keittoja - супы (от keitto)
[1113, 1113]:	keittäjä - повар
[1114, 1114]:	keittäjätär - кухарка, повариха
[1115, 1115]:	keittäminen - варка, приготовление пищи
[1116, 1116]:	keittää - варить
[1117, 1117]:	keittää pontikkaa - гнать самогон
[1118, 1118]:	keksejä - печенье
[1119, 1119]:	keksintö - изобретение
[112, 112]:	antakaa - дайте
[1120, 1120]:	keksit - печенье
[1121, 1121]:	keksiä - придумывать, изобретать
[1122, 1122]:	keli - погода (состояние дороги от погоды)
[1123, 1123]:	kelkka - санки
[1124, 1124]:	kello - час, часы
[1125, 1125]:	kello on edellä - часы спешат
[1126, 1126]:	kellonremmi - ремешок для часов
[1127, 1127]:	keltainen - желтый
[1128, 1128]:	kemia - химия
[1129, 1129]:	kemikaalikauppa - парфюмерия
[113, 113]:	anteeksi - извините
[1130, 1130]:	kemisti - химик
[1131, 1131]:	kengät - туфли
[1132, 1132]:	kenkä - обувь
[1133, 1133]:	kenkäkauppa - обувной магазин
[1134, 1134]:	kenttä - поле (футбольное)
[1135, 1135]:	kera - с, co
[1136, 1136]:	keritä - успевать
[1137, 1137]:	kerkiän - успеваю
[1138, 1138]:	kerma - сливки
[1139, 1139]:	kerman - со сливками (от kerma)
[114, 114]:	anteeksipyyntö - извинение
[1140, 1140]:	kermanvärinen - кремовый
[1141, 1141]:	kerran - однажды, один раз
[1142, 1142]:	kerrata - повторять
[1143, 1143]:	kerroksessa - на этаже (от kerros)
[1144, 1144]:	kerros - этаж
[1145, 1145]:	kerrospalvelija - горничная
[1146, 1146]:	kerrospalvelijan - горничную (от kerrospalvelija)
[1147, 1147]:	kerrospäivystäja - дежурная
[1148, 1148]:	kerrospäivystäjälle - у дежурной (от kerrospдivystäjд)
[1149, 1149]:	kerrostalo - многоэтажный дом
[115, 115]:	antibiooteille - к антибиотикам
[1150, 1150]:	kerta, kertaa - раз
[1151, 1151]:	kertoa - рассказывать
[1152, 1152]:	kertomus - рассказ
[1153, 1153]:	kertomuskokoelma - сборник рассказов
[1154, 1154]:	keruu | marjojen k. - сбор, собирание | сбор ягод
[1155, 1155]:	kerä - клубок
[1156, 1156]:	keräilijä, kerääjä? - собиратель, коллекционер
[1157, 1157]:	keräillä - собирать, коллекционировать
[1158, 1158]:	keräilу - собирание, коллекционирование
[1159, 1159]:	keräilуkansio - альбом для коллекционирования
[116, 116]:	antibiootti - антибиотик
[1160, 1160]:	kerätä - собирать, коллекционировать
[1161, 1161]:	keräys - сбор
[1162, 1162]:	kerääminen - коллекционирование
[1163, 1163]:	kerääntyvät - собираются
[1164, 1164]:	keräättekö - вы коллекционируете?
[1165, 1165]:	keskellä - посредине, в центре
[1166, 1166]:	keskiaikainen - средневековый
[1167, 1167]:	keskikohdasta - расстегай
[1168, 1168]:	keskiosa - середина
[1169, 1169]:	keskiosassa - в середине (от keskiosa)
[117, 117]:	antiikkikauppa - антикварный магазин
[1170, 1170]:	keskipiste - центральная точка
[1171, 1171]:	keskittyä - приручить, укрощать
[1172, 1172]:	keskiviikko - среда
[1173, 1173]:	keskus - центр
[1174, 1174]:	keskussairaala - центральная больница
[1175, 1175]:	keskusta - центр, середина
[1176, 1176]:	keskustella - разговаривать
[1177, 1177]:	keskusteluharjoitukset - упражнения по разговорной речи
[1178, 1178]:	keskustelukumppani - собеседник
[1179, 1179]:	keskusteluopas - разговорник
[118, 118]:	antikvariaatti - букинистический магазин
[1180, 1180]:	keskustelutilaisuus - беседа
[1181, 1181]:	kestävyys - прочность, выносливость, стойкость
[1182, 1182]:	kestävä - прочный
[1183, 1183]:	kestää - длиться, продолжаться
[1184, 1184]:	kesä - лето
[1185, 1185]:	kesäkuu - июнь
[1186, 1186]:	kesäloma - летний отпуск, летние каникулы
[1187, 1187]:	kesämökki - дача
[1188, 1188]:	kesäyliopisto - летний университет
[1189, 1189]:	ketju - цепочка
[119, 119]:	appelsiineja - апельсины
[1190, 1190]:	ketsuppi - кетчуп
[1191, 1191]:	kettu - лиса
[1192, 1192]:	keuhkokuume - воспаление легких
[1193, 1193]:	keuhkot - легкие
[1194, 1194]:	kevyt - лёгкий
[1195, 1195]:	kevät - весна
[1196, 1196]:	kiehua - кипеть
[1197, 1197]:	kieli - язык
[1198, 1198]:	kielikerho - кружок по изучению языка
[1199, 1199]:	kielioppi - грамматика
[12, 12]:	aatto - канун
[120, 120]:	appelsiini - апельсин
[1200, 1200]:	kielistudio - лингафонный кабинет
[1201, 1201]:	kielitausta - языковой фон, языковая основа
[1202, 1202]:	kielitiede - языкознание
[1203, 1203]:	kieliä - языки (от kieli)
[1204, 1204]:	kielletty - запрещено
[1205, 1205]:	kielot - ландыши
[1206, 1206]:	kieltä - язык (от kieli)
[1207, 1207]:	kieltäytyminen - отказ
[1208, 1208]:	kieltäytyä - отказываться
[1209, 1209]:	kieltää - запрещать, отрицать
[121, 121]:	appelsiinituoremehu - свежий апельсиновый сок
[1210, 1210]:	kierrellä - поездить, разъезжать
[1211, 1211]:	kierros - оборот, круг
[1212, 1212]:	kiertoajelu - экскурсия (по городу)
[1213, 1213]:	kiertonäyttely - передвижная выставка
[1214, 1214]:	kiertää - обходить, ездить
[1215, 1215]:	kihara - завивать
[1216, 1216]:	kiharat - кудри
[1217, 1217]:	kiharrin - завивалка волос
[1218, 1218]:	kiihtynyt - учащенный
[1219, 1219]:	kiikari - бинокль
[122, 122]:	appi - свекор, тесть
[1220, 1220]:	kiiltää - блестеть, лосниться, сверкать
[1221, 1221]:	kiinnittäkää - пристегните (от kiinnittää)
[1222, 1222]:	kiinnittää - пристегнуть
[1223, 1223]:	kiinnittää huomiota - обращать внимание
[1224, 1224]:	kiinnostaa - интересовать
[1225, 1225]:	kiinnostua - интересоваться
[1226, 1226]:	kiinteistö - недвижимость
[1227, 1227]:	kiinteä - неподвижно
[1228, 1228]:	kiinteästi - неразрывно, тесно
[1229, 1229]:	kiire - спешка
[123, 123]:	aprikoosi - абрикос
[1230, 1230]:	kiireetön - неспешный, неторопливый, спокойный
[1231, 1231]:	kiiruhtaa - спешить
[1232, 1232]:	kiisseli - кисель
[1233, 1233]:	kiitoksia - спасибо (от kiitos)
[1234, 1234]:	kiitollinen - благодарный
[1235, 1235]:	kiitollisuus - благодарность
[1236, 1236]:	kiitos - спасибо
[1237, 1237]:	kiittäminen - благодарность
[1238, 1238]:	kiittää - благодарить
[1239, 1239]:	kiitämme - мы благодарим (от kiittää)
[124, 124]:	apteekissa - в аптеке
[1240, 1240]:	kiitää - мчаться, нестись
[1241, 1241]:	kikattaa - хихикать
[1242, 1242]:	kilistä - звенеть, звякать
[1243, 1243]:	kilo - килограмм
[1244, 1244]:	kiloa - килограмм (несколько)
[1245, 1245]:	kilon - килограмм (целый)
[1246, 1246]:	kilpailla - соревноваться
[1247, 1247]:	kilpailut - соревнования
[1248, 1248]:	kilpi - вывеска, щит
[1249, 1249]:	kilpikonna - черепаха (броня/проходимец)
[125, 125]:	apteekki - аптека
[1250, 1250]:	kiltti - послушный
[1251, 1251]:	kimmeltää - сверкать, блестеть
[1252, 1252]:	kinkku - ветчина
[1253, 1253]:	kinkkua - ветчину (от kinkku)
[1254, 1254]:	kinkun - с ветчиной (от kinkku)
[1255, 1255]:	kinos - сугроб
[1256, 1256]:	kipeä kohta - больное место
[1257, 1257]:	kipittää - бежать легко и быстро
[1258, 1258]:	kipu - боль
[1259, 1259]:	kiristyä - крепчать (о морозе)
[126, 126]:	apteekkia - аптека
[1260, 1260]:	kirja - книга
[1261, 1261]:	kirjailija - писатель
[1262, 1262]:	kirjain - буква
[1263, 1263]:	kirjakauppa - книжный магазин
[1264, 1264]:	kirjakieli - литературный язык
[1265, 1265]:	kirjallisuus - литература
[1266, 1266]:	kirjapaino - типография
[1267, 1267]:	kirjasto - библиотека
[1268, 1268]:	kirjata - посылать заказным
[1269, 1269]:	kirjattu kirje - заказное письмо
[127, 127]:	apu - помощь
[1270, 1270]:	kirje - письмо
[1271, 1271]:	kirjeen - письмо (от kirje)
[1272, 1272]:	kirjeenvaihtaja - корреспондент
[1273, 1273]:	kirjeenvaihtajana - корреспондент (от kirjeenvaihtaj)
[1274, 1274]:	kirjeenvaihto - переписка
[1275, 1275]:	kirjeeseen - на письмо (от kirje)
[1276, 1276]:	kirjekuoren - конверт (от kirjekuori)
[1277, 1277]:	kirjekuori - конверт
[1278, 1278]:	kirjekuoria - конверты (от kirjekuori)
[1279, 1279]:	kirjepaperi - почтовая бумага
[128, 128]:	apulainen - помощник
[1280, 1280]:	kirjettä - письмо (от kirje)
[1281, 1281]:	kirjoittaa - писать
[1282, 1282]:	kirjoittakaa - напишите (от kirjoittaa)
[1283, 1283]:	kirjoittautua - записываться
[1284, 1284]:	kirjoitus - статья, заметка
[1285, 1285]:	kirjoituspaperi - бумага
[1286, 1286]:	kirjoituspaperia - бумагу (от kirjoituspaperi)
[1287, 1287]:	kirjoja - книги (от kirja)
[1288, 1288]:	kirkas - яркий, прозрачный
[1289, 1289]:	kirkkaat - яркие
[129, 129]:	apuraha - денежное пособие
[1290, 1290]:	kirkko - церковь
[1291, 1291]:	kirsikka - вишня
[1292, 1292]:	kirurgia - хирургия
[1293, 1293]:	kirvellä - пощипывать, жечь, саднить
[1294, 1294]:	kirves - топор
[1295, 1295]:	kisa - игра, соревнование
[1296, 1296]:	kitara - гитара
[1297, 1297]:	kiusa - неприятность, помеха
[1298, 1298]:	kiva - интересный, симпатичный, хорошо, ладно
[1299, 1299]:	kivennäisvesi - минеральная вода
[13, 13]:	agronomi - агроном
[130, 130]:	arki - будни
[1300, 1300]:	kivennäisvettä - минеральную воду (от kivennдisvesi)
[1301, 1301]:	klassinen - классическая музыка
[1302, 1302]:	klo - в (время)
[1303, 1303]:	klubi - клуб
[1304, 1304]:	klubilla - в клубе (от klubi)
[1305, 1305]:	koditon - бездомный 
[1306, 1306]:	koe - испытание, экзамен
[1307, 1307]:	kohdalla - у (места)
[1308, 1308]:	kohde - объект
[1309, 1309]:	kohokohta - кульминационный момент
[131, 131]:	arkipäivä - будний день
[1310, 1310]:	kohonnut - повышенное
[1311, 1311]:	kohota - подниматься
[1312, 1312]:	kohottaa - поднимать
[1313, 1313]:	kohta I - скоро
[1314, 1314]:	kohta II - место
[1315, 1315]:	kohtaan - по отношению к кому-либо, чему-либо
[1316, 1316]:	kohtalainen - умеренный
[1317, 1317]:	kohtelias - вежливый
[1318, 1318]:	kohti - по направлению к чему-либо
[1319, 1319]:	koi - моль
[132, 132]:	arkkitehti - архитектор
[1320, 1320]:	koillinen - северо-восток
[1321, 1321]:	koira - собака
[1322, 1322]:	koittaa - наступать
[1323, 1323]:	kokeilla - испытывать
[1324, 1324]:	kokemus - опыт
[1325, 1325]:	kokenut - опытный
[1326, 1326]:	kokki - кок, повар
[1327, 1327]:	koko - весь, целый, размер
[1328, 1328]:	kokoa - размер
[1329, 1329]:	kokoelma - коллекция, сборник
[133, 133]:	artikkeli - статья
[1330, 1330]:	kokoelmani, kokoelma - моя коллекция
[1331, 1331]:	kokoinen - величиной, размером
[1332, 1332]:	kokoisen - размера
[1333, 1333]:	kokonaan - совсем, совершенно
[1334, 1334]:	kokonaisuus - целое, совокупность
[1335, 1335]:	kokoontua - собираться
[1336, 1336]:	kokous - собрание
[1337, 1337]:	kolea - прохладный
[1338, 1338]:	kolikko - монета
[1339, 1339]:	kolista - стучать, греметь
[134, 134]:	arvata - догадываться, отгадывать
[1340, 1340]:	kollega - коллега
[1341, 1341]:	kollegat - коллеги
[1342, 1342]:	kolli - место
[1343, 1343]:	kollia - места (от kolli)
[1344, 1344]:	kolmannes - треть
[1345, 1345]:	kolmas - третий
[1346, 1346]:	kolme - три
[1347, 1347]:	kolmeksi - на три (от kolme)
[1348, 1348]:	kolmekymmentä - тридцать
[1349, 1349]:	kolmesataa - три сотни
[135, 135]:	arvella - полагать
[1350, 1350]:	kolmetoista - тринадцать
[1351, 1351]:	kolmetuhatta - три тысячи
[1352, 1352]:	kolmikko - тройка
[1353, 1353]:	kone - машина, механизм
[1354, 1354]:	konekirjoittaja - машинистка
[1355, 1355]:	Konevitsa - Коневец
[1356, 1356]:	konjakki - коньяк
[1357, 1357]:	konsertti - концерт
[1358, 1358]:	kontrollilippu - посадочный талон
[1359, 1359]:	konvehtit - конфеты
[136, 136]:	arvo - ценность
[1360, 1360]:	koostua - состоять
[1361, 1361]:	koota - собирать
[1362, 1362]:	kopeekka - копейка
[1363, 1363]:	koristaa - украшать
[1364, 1364]:	koristeellinen - декоративный, украшенный
[1365, 1365]:	koriste-esine - украшение
[1366, 1366]:	korjaa - чинит, ремонтирует (он)
[1367, 1367]:	korjata - чинить, ремонтировать, исправлять
[1368, 1368]:	korjata pois - убирать
[1369, 1369]:	korjaus - ремонт
[137, 137]:	arvoisa - уважаемая
[1370, 1370]:	korkea - высокий
[1371, 1371]:	korkeakoulu I - институт
[1372, 1372]:	korkeakoulu II - высшее учебное заведение
[1373, 1373]:	korkeakoulusivistys - высшее образование
[1374, 1374]:	korkeakoulussa - в институте (от korkeakoulu)
[1375, 1375]:	korkeus - высота
[1376, 1376]:	korko - каблук, проценты, дивиденты
[1377, 1377]:	korkoa - luottaa korkoa приносиь проценты
[1378, 1378]:	korottaa - поднимать, повышать
[1379, 1379]:	koruliike - ювелирный магазин
[138, 138]:	arvoisat - уважаемые
[1380, 1380]:	korva - ухо
[1381, 1381]:	korvaa - ухо (от korva)
[1382, 1382]:	korvakoruja - серьги (от korvakoru)
[1383, 1383]:	korvarenkaat - серьги
[1384, 1384]:	korvata - возмещать
[1385, 1385]:	koska - так как, потому что
[1386, 1386]:	koskea - болеть
[1387, 1387]:	koskee - болит (от koskea)
[1388, 1388]:	koskeeko - болит (?)
[1389, 1389]:	koskettaa - дотрагиваться до чего-либо, коснуться
[139, 139]:	arvokas - ценный, значительный
[1390, 1390]:	kosketus - контакт, общение, прикосновение
[1391, 1391]:	koski - порог, водопад, порог на реке
[1392, 1392]:	kostea - сырой, влажный
[1393, 1393]:	kosteus - влажность, сырость
[1394, 1394]:	koti - дом
[1395, 1395]:	kotiin - домой
[1396, 1396]:	kotikaupunki - родной город
[1397, 1397]:	kotimainen - отечественный
[1398, 1398]:	kotimuseo - дом-музей
[1399, 1399]:	kotiseutumuseo - краеведческий музей
[14, 14]:	ahdas - тесный
[140, 140]:	arvonimen - званием
[1400, 1400]:	kotitalo - родной дом
[1401, 1401]:	kotletti - котлета
[1402, 1402]:	kotona - дома
[1403, 1403]:	kottikärryt - тачка 
[1404, 1404]:	koulu - школа
[1405, 1405]:	koululainen - школьник
[1406, 1406]:	koulunkäynti - учеба в школе
[1407, 1407]:	koulussa - в школе (от koulu)
[1408, 1408]:	koulutoveri - школьный товарищ
[1409, 1409]:	kouluttaa - обучать
[141, 141]:	arvonimi - звание
[1410, 1410]:	koulutus - образование
[1411, 1411]:	kouristuksia - спазмы (от kouristus)
[1412, 1412]:	kouristus - спазм
[1413, 1413]:	kova - сильный, твердый
[1414, 1414]:	kovaksi - вкрутую
[1415, 1415]:	kovasti - много, очень, сильно
[1416, 1416]:	kovempaa - громче
[1417, 1417]:	kovin - очень
[1418, 1418]:	Kremlin muuri - Кремлевская стена
[1419, 1419]:	kristus - Христос
[142, 142]:	arvosana - оценка, отметка
[1420, 1420]:	krysanteemit - хризантемы
[1421, 1421]:	kräsä - барахло (распродажа сувениров)
[1422, 1422]:	kuherruskuukausi - медовый месяц
[1423, 1423]:	kuinka - как
[1424, 1424]:	kuisti - крыльцо
[1425, 1425]:	kuitenkaan - все же не
[1426, 1426]:	kuitin - квитанцию (от kuitti)
[1427, 1427]:	kuitti - квитанция
[1428, 1428]:	kuiva - сухой
[1429, 1429]:	kuivunut - засохший, высохший
[143, 143]:	ase - оружие, орудие (инстумент)
[1430, 1430]:	kuja - переулок
[1431, 1431]:	kuka - кто
[1432, 1432]:	kukka - цветок
[1433, 1433]:	kukkakaali - цветная капуста
[1434, 1434]:	kukkakauppa - цветочный магазин
[1435, 1435]:	kukkakimput - букеты (цветы)
[1436, 1436]:	kukkapenki - цветочная клумба, клуб
[1437, 1437]:	kukkaro - кошелек
[1438, 1438]:	kukko - петух
[1439, 1439]:	kukkua - куковать
[144, 144]:	asema - станция, вокзал
[1440, 1440]:	kukoistaa - цвести, процветать
[1441, 1441]:	kuljettaa - водить, везти, перевозить
[1442, 1442]:	kuljettaja - водитель
[1443, 1443]:	kulkea - идти, ходить
[1444, 1444]:	kulkee - проходить, проходить
[1445, 1445]:	kulkunen - бубенчик
[1446, 1446]:	kulkuväline - средство передвижения
[1447, 1447]:	kullanvärinen - золотистый
[1448, 1448]:	kulma - угол
[1449, 1449]:	kulta - золото, милый, милая
[145, 145]:	asemalle - до станции
[1450, 1450]:	kultaa - золото
[1451, 1451]:	kultaisia - золотые
[1452, 1452]:	kultaseppä - ювелир
[1453, 1453]:	kulttuurihahmo - фигура (личность) в культурной жизни
[1454, 1454]:	kulttuurihenkilö - деятель культуры
[1455, 1455]:	kulttuurikeskus - культурный центр
[1456, 1456]:	kulua - проходить (во времени)
[1457, 1457]:	kulut - расходы, издержки
[1458, 1458]:	kuluttaa - изнашивать, потреблять
[1459, 1459]:	kuluttaa tuhlata - израсходовать
[146, 146]:	asemesta - вместо
[1460, 1460]:	kuluttua - через
[1461, 1461]:	kulutustarpeet - предметы потребления
[1462, 1462]:	kumi - резинка
[1463, 1463]:	kumisaappaat - резиновые сапоги
[1464, 1464]:	kumpi - который (из двух)
[1465, 1465]:	kumppani - товарищ, приятель
[1466, 1466]:	kuningatar - королева, царица
[1467, 1467]:	kunnanvaltuusto - муниципалитет
[1468, 1468]:	kunnes - пока не
[1469, 1469]:	kunnia - честь, слава
[147, 147]:	aseriisunta - разоружение
[1470, 1470]:	kunnioittaa - уважать
[1471, 1471]:	kunnolla - как следует, хорошо, должным образом
[1472, 1472]:	kunnossa, kunto - готов
[1473, 1473]:	kunnostaa - ремонтировать, приводить в порядок
[1474, 1474]:	kunta - община, коммуна
[1475, 1475]:	kunto - состояние, порядок
[1476, 1476]:	kuntosali - тренировочный зал
[1477, 1477]:	kuntoutua - достигать хорошей формы
[1478, 1478]:	kuolema - смерть, кончина
[1479, 1479]:	kuolla - умирать
[148, 148]:	asettaa - поставить
[1480, 1480]:	kuopus - младший ребенок
[1481, 1481]:	kuoria - очищать от кожуры
[1482, 1482]:	kuoro - хор
[1483, 1483]:	kupillinen - чашечка
[1484, 1484]:	kupillisen - чашечку (от kupillinen)
[1485, 1485]:	kupoli - купол
[1486, 1486]:	kuppeja - чашки (от kuppi)
[1487, 1487]:	kuppi - чашка
[1488, 1488]:	kuppit - чашки
[1489, 1489]:	kura - слякоть, грязь
[149, 149]:	asettelen - расставлять
[1490, 1490]:	kurahousut - грязные брюки
[1491, 1491]:	kuri - дисциплина
[1492, 1492]:	kuristajakäärme - удав
[1493, 1493]:	kurja - жалкий
[1494, 1494]:	kurjet - журавли
[1495, 1495]:	kurki - журавль
[1496, 1496]:	kurkistaa - заглянуть
[1497, 1497]:	kurkku - огурец, горло
[1498, 1498]:	kurkkua - горло (от kurkku)
[1499, 1499]:	kurkkuja - огурцы (от kurkku)
[15, 15]:	ahkera - прилежный
[150, 150]:	asetus - постановление, указ
[1500, 1500]:	kurkkusalaattia - огуречный салат
[1501, 1501]:	kurssi - курс
[1502, 1502]:	kuten - как
[1503, 1503]:	kutittaa - щекотать
[1504, 1504]:	kutoa - вязать, ткать
[1505, 1505]:	kutsua - приглашать
[1506, 1506]:	kutsukaa - пригласите (от kutsua)
[1507, 1507]:	kutsusta - за приглашение  (от kutsua)
[1508, 1508]:	kutsut - прием, званый вечер, обед
[1509, 1509]:	kuu - луна, месяц
[151, 151]:	asetusluonnos - проект постановления
[1510, 1510]:	kuudennes - шестая часть
[1511, 1511]:	kuudes - шестой
[1512, 1512]:	kuukauden - месяц
[1513, 1513]:	kuukaudet - месяцы (от kuukausi)
[1514, 1514]:	kuukausi - месяц
[1515, 1515]:	kuulemiin - до свидания (по телефону)
[1516, 1516]:	kuulemma - говорят, по слухам
[1517, 1517]:	kuulla - слышать
[1518, 1518]:	kuuloke - телефонная трубка
[1519, 1519]:	kuulostaa - звучать
[152, 152]:	asia - дело
[1520, 1520]:	kuulua - принадлежать
[1521, 1521]:	kuuluisa - известный
[1522, 1522]:	kuulun - я принадлежу (от kuulua)
[1523, 1523]:	kuuluu - слышно
[1524, 1524]:	kuuma - горячий
[1525, 1525]:	kuume - температура, жар
[1526, 1526]:	kuunnelkaa - слушайте (от kuunnella)
[1527, 1527]:	kuunnella - слушать
[1528, 1528]:	kuusi I - шесть
[1529, 1529]:	kuusi II - ель, елка
[153, 153]:	asiakas - клиент
[1530, 1530]:	kuusikymmentä - шестьдесят
[1531, 1531]:	kuusitoista - шестнадцать
[1532, 1532]:	kuussa - в месяц (от kuu)
[1533, 1533]:	kuva - иллюстрация
[1534, 1534]:	kuvailla - изображать, описывать
[1535, 1535]:	kuvanveistäjä - скульптор
[1536, 1536]:	kuvata - изображать
[1537, 1537]:	kuvaus - описание
[1538, 1538]:	kuvittaa - иллюстрировать
[1539, 1539]:	kyetä - мочь, быть в состоянии, быть способным
[154, 154]:	asiakirja - документ
[1540, 1540]:	kyky - талант, способный
[1541, 1541]:	kyljys - отбивная котлета
[1542, 1542]:	kylki - бок
[1543, 1543]:	kylkikipu - боль в боку
[1544, 1544]:	kylkiluu - ребро
[1545, 1545]:	kyllä - да
[1546, 1546]:	kyllästyttää - надоедать
[1547, 1547]:	kyllästyä - пресыщаться 
[1548, 1548]:	kylmä - холодный
[1549, 1549]:	kylpeä - мыться, париться
[155, 155]:	asiantuntija - специалист
[1550, 1550]:	kylpyhuone - ванная комната
[1551, 1551]:	kylpylä - курорт
[1552, 1552]:	kylpytakin - халат (от kylpytakki)
[1553, 1553]:	kylpytakki - халат
[1554, 1554]:	kyltti - вывеска
[1555, 1555]:	kylä - деревня
[1556, 1556]:	kymmenen - десять
[1557, 1557]:	kymmenes - десятый
[1558, 1558]:	kymnaasia - гимназия
